cost,num_common_edges,num_common_nodes,avg_common_edges,avg_common_nodes
73981,52,90,45.9469,87.1692
73746,49,89,46.0861,87.9439
74370,53,89,45.7057,87.4044
72387,56,91,48.017,88.4144
73271,50,91,45.8519,88.042
73974,53,92,44.8919,88.5005
72947,60,92,44.9099,88.0871
75239,48,91,42.6867,88.049
74230,49,92,42.4775,88.6216
74443,51,87,44.4755,87.4184
74514,59,92,47.1081,88.3253
72398,55,91,48.2262,88.1021
74933,47,88,43.4845,88.2092
76628,49,87,42.4785,85.6527
73842,48,87,44.4905,87.7918
77817,43,89,39.7187,85.4404
75515,52,89,45.6086,87.4364
74755,47,88,43.3744,86.1892
75107,49,92,43.4194,88.8118
73316,60,91,47.1321,88.7487
73969,53,90,43.8388,88.2422
73987,48,88,43.8158,87.2713
74254,51,89,45.5355,87.3483
73878,43,89,42.8178,87.7087
73881,53,92,45.5005,88.978
74596,46,87,44.3964,86.4605
73567,62,93,45.9459,88.8058
73053,52,91,44.0651,87.4705
74812,50,91,43.5956,87.8248
74119,50,91,45.1451,88.5866
76298,48,88,42.4464,86.7878
73755,53,90,45.6767,87.3654
73525,57,90,47.6887,88.6106
73138,50,91,45.7107,88.7818
73757,57,95,46.4835,90.02
73835,60,92,46.2382,87.8999
73699,52,90,46.9119,87.6787
74299,58,92,44.7267,88.8378
74685,57,92,44.9149,88.7127
75308,44,89,42.8619,87.7227
72149,60,93,49.6927,89.025
72899,58,94,46.5095,88.8829
74542,49,89,43.9459,86.7497
74404,48,88,43.8238,85.956
74509,45,89,44.4454,87.6086
73526,49,91,44.6366,87.9199
73826,51,92,44.2703,88.033
72914,58,91,43.4685,86.977
73313,52,88,43.7888,87.1341
72763,55,91,45.2162,88.2392
75124,49,87,46.5195,86.8549
73510,53,94,45.6426,89.1301
74940,47,89,40.7928,86.4374
73419,53,85,44.6777,86.2092
73214,57,92,46.3333,88.1742
73824,59,91,46.4575,87.4975
73651,57,91,46.7447,89.6206
73840,54,93,46.5926,89.3313
73903,50,88,43.97,87.7067
71854,54,90,48.4905,89.1391
73375,49,88,45.7568,87.4284
73999,56,93,46.3884,89.4535
72492,54,92,45.4444,88.6246
73258,53,92,45.6286,90.028
74649,46,89,44.2302,87.6927
72593,56,91,46.5766,88.4725
75076,45,89,41.1722,86.6647
72722,52,91,45.9039,88.5706
73814,47,92,42.4605,87.6316
74337,50,88,46.8248,87.7568
73490,57,93,44.2763,88.1942
75491,58,91,43.8088,87.5546
76577,47,88,43.5776,86.6567
74076,57,91,46.5255,88.5345
71468,59,91,46.8168,88.047
73225,51,93,43.8869,87.9379
73228,58,93,49.3584,88.7347
73643,45,91,43.954,88.8809
73404,54,91,46.1802,88.1602
73392,54,92,47.8979,88.985
73802,49,91,44.3293,88.3313
73883,43,89,40.5976,87.1211
73664,58,91,45.4464,88.996
75991,52,89,44.1672,86.8068
73897,55,91,46.7578,88.1922
72854,57,93,47.5045,88.6326
75395,54,88,45.8078,86.3183
73997,50,91,45.0621,89.2082
73884,52,90,46.1612,88.0691
71901,60,93,50.5115,90.021
72057,54,93,47.2583,89.9029
73968,53,91,45.0671,88.017
74517,44,89,42.1161,87.5455
74370,57,91,46.9089,88.6046
74453,52,89,44.975,88.1111
74958,49,88,43.6186,86.2202
74563,43,89,41.4394,87.5185
74643,57,92,44.97,88.5526
71964,54,90,47.0611,87.7367
74690,52,91,43.2402,87.4865
75145,49,86,42.6707,86.004
73690,54,90,47.3313,88.1351
74168,49,86,43.8879,86.8899
75058,48,91,44.4585,88.1161
73740,58,93,46.7377,87.0951
74119,53,88,46.951,87.5676
74613,60,90,46.9029,86.953
75011,47,87,43.0831,85.977
74098,48,89,43.4965,88.2052
73409,46,88,43.6867,87.5175
72369,55,89,47.2242,87.3203
72407,56,92,45.8368,88.5876
74410,49,92,44.8699,88.2593
72694,54,90,47.2533,87.1602
74028,62,93,47.1642,89.2933
74834,50,88,42.7167,86.4274
75299,53,89,45.7768,87.6517
74896,51,89,43.3473,87.0941
73480,53,93,46.7508,89.7237
72704,61,91,47.1612,88.0731
72471,61,95,48.994,90.035
73133,53,87,45.4104,86.1512
74601,47,90,43.3674,88.4715
74925,50,91,44.2492,88.4525
73868,60,93,44.6507,88.7638
74203,57,91,45.1151,89.1001
74141,50,88,43.7017,87.0641
73115,53,90,44.4164,85.6466
73960,51,91,46.2553,88.3954
71652,57,93,47.4975,89.1391
75890,46,89,42.97,87.7177
74359,51,88,43.5365,87.4735
74405,55,91,47.1932,87.7658
73493,44,90,42.963,87.3904
74120,51,89,43.7197,88.027
70977,100,100,52.4785,90.2683
74014,44,89,42.1021,87.6527
72971,46,90,44.6446,87.5556
74178,55,94,45.4885,89.6997
73045,57,90,47.8108,89.2212
73922,61,91,46.7688,88.2973
73710,56,91,45.7938,87.8088
75046,49,87,43.018,84.9379
73730,51,88,43.5676,85.5756
75649,46,89,44.7147,86.8739
73421,45,86,43.5055,86.8829
72631,59,95,48.2302,90.3173
73322,53,91,45.5335,88.98
73223,53,94,43.5596,88.5876
73622,54,93,45.018,88.016
74170,57,91,46.6106,88.1952
73386,52,91,47.8539,89.019
74289,53,90,44.8809,88.1852
75313,48,91,45.1792,87.5616
72220,59,90,49.988,87.8939
74584,55,89,44.4665,86.6817
72910,55,90,44.3704,87.8899
73820,54,91,45.1031,87.7427
72637,55,93,45.5596,89.3123
74323,44,87,44.8238,87.3313
73682,50,92,47.4765,89.7477
74115,59,90,46.6196,87.8629
73749,52,89,44.1101,86.5345
73340,48,90,45.2042,87.7908
72733,59,93,48.7497,90.1491
75114,54,92,43.6166,87.9319
73229,69,95,45.6537,89.008
72899,55,90,46.3283,88.2893
72990,62,93,47.4204,88.2903
72465,62,91,46.982,88.2282
73624,48,90,44.8799,88.016
74297,53,91,45.8278,86.7728
73985,56,90,47.1251,88.2543
73658,52,90,47.2012,88.4474
76887,49,86,44.5776,85.6877
72665,58,91,46.955,88.8939
73729,58,91,46.1942,87.3383
73292,51,92,45.7097,89.2342
75112,55,89,43.6607,85.4705
75016,48,90,42.9149,87.017
72662,51,91,44.8088,88.9359
75267,51,87,43.3353,85.2182
75654,41,86,39.2623,86.0551
75577,49,89,43.3804,87.7157
72264,59,92,48.1702,88.6336
74348,42,88,42.5355,86.8328
73959,60,89,45.4695,86.1902
75408,50,90,43.978,87.959
75671,48,90,42.8338,87.1041
75452,49,83,41.8068,83.3654
74575,56,90,45.983,87.5516
74109,48,90,44.8078,88.1922
74073,53,88,44.2362,85.1792
74005,59,92,45.8008,87.4625
73557,49,88,45.2212,87.3664
74936,55,89,45.3103,87.5996
73320,56,91,43.5195,87.6216
74293,50,90,43.6677,87.4935
71143,65,95,50.6496,89.5776
73588,50,88,47.4454,87.4775
72228,54,91,48.4014,88.965
72904,55,90,46.1762,87.5155
74443,50,87,44.6466,86.5275
74663,49,90,44.3123,88.026
74282,59,93,46.995,89.2012
74012,49,91,44.6767,87.6236
75693,47,86,42.1932,86.028
73987,51,88,43.6517,85.9129
73615,52,92,47.4434,89.3323
74557,52,89,42.5556,85.6977
74196,56,93,43.4945,89.4995
73635,47,91,43.4835,87.2282
75029,46,88,42.2663,85.8919
71920,52,92,47.2573,89.2743
73295,54,92,44.9209,88.7257
72382,53,91,46.2843,88.4835
71352,61,90,49.0841,87.8509
75250,53,91,43.9479,87.5596
73621,53,89,41.7828,86.6266
75710,53,90,44.966,87.5285
72028,62,93,50.2633,89.4494
74202,52,88,44.1051,85.5165
72696,58,92,46.6066,88.3764
76427,49,88,42.5315,86.4054
75459,43,86,40.3944,85.3894
74869,54,88,46.6807,86.3814
74384,49,91,44.9009,88.1051
75931,42,89,41.1251,87.4134
73493,50,89,46.1952,87.3894
