cost,num_common_edges,num_common_nodes,avg_common_edges,avg_common_nodes
48693,45,79,41.0611,83.6787
48877,44,85,41.8278,84.039
47470,53,82,44.5295,82.8228
47598,47,81,41.1311,81.8028
48609,48,85,43.2082,84.1451
47521,50,81,44.5716,82.8689
48977,44,84,40.1592,82.8899
48336,49,84,43.6326,83.7257
50492,42,79,41.4805,82.7337
47800,45,83,43.7017,83.8799
48566,45,83,40.955,82.5716
47648,54,86,43.8048,83.96
47399,46,85,42.2492,82.029
47645,47,85,43.1131,84.3814
51663,47,78,41.5365,80.3534
49012,50,84,42.8649,83.4024
48768,48,83,39.4384,82.7958
48567,52,81,42.966,82.6446
47957,44,84,41.4845,83.2032
48588,44,81,44.0601,82.8719
49382,44,80,43.2943,82.3163
47144,50,81,44.7888,82.3353
47231,49,83,42.6186,82.958
50139,38,77,38.6607,80.5916
48644,52,84,42.4034,81.8639
48286,45,84,42.6496,83.4084
49059,44,82,41.4354,80.986
47804,51,85,42.7508,84.5095
49356,38,78,39.3804,81.5085
47810,44,87,43.3283,84.5736
47941,47,87,42.6887,84.7938
49462,43,80,42.6026,83.006
48034,53,87,44.8048,83.7948
47241,51,88,43.1502,84.5155
49058,44,82,41.7718,81.5536
48798,50,83,41.8899,81.8599
48527,50,80,44.5445,83.3333
48424,43,81,41.7918,83.2482
47293,51,86,43.3293,84.973
47927,49,83,42.8128,84.5966
47712,52,86,44.2963,83.3994
48724,42,83,41.9479,83.8979
48108,47,80,44.4434,83.6026
47550,49,89,42.7127,84.4515
49344,46,81,39.8919,82.7728
47566,52,85,41.6987,83.3153
49529,46,83,40.4965,82.8348
49728,38,80,39.4394,82.7027
47090,52,84,43.6306,83.6106
50248,43,81,41.6456,82.5826
45982,50,84,45.978,84.0741
48442,51,83,41.3734,82.5335
48622,43,82,40.8188,82.959
49190,46,83,41.6446,83.4595
48108,46,78,43.2452,81.954
48533,43,82,41.4244,82.4144
49700,54,82,38.9149,76.8579
47649,57,86,45.049,84.0571
47937,44,87,41.7748,85.5425
48237,48,85,43.004,83.1512
47096,49,84,44.2763,82.7367
48449,41,80,42.4735,81.1291
49079,46,82,39.0891,81.975
46738,47,86,41.7427,83.007
48927,48,84,41.5996,83.0721
47278,52,87,41.8388,84.2072
50425,45,84,40.9109,83.4945
48808,53,83,43.029,82.2342
51452,43,81,39.1812,82.1311
47215,47,84,45.4625,85.2573
47315,55,85,42.971,83.1481
47638,51,84,44.1892,84.008
47370,53,84,45.3574,83.6827
50521,50,83,39.7718,82.3223
46245,52,86,46.4414,84.3964
48287,52,84,40.5946,82.3413
49141,43,81,40.7417,84.3814
48531,46,82,45.1752,83.3383
48179,45,83,39.9099,83.1271
47865,53,84,43.9309,83.4665
48273,50,84,44.5946,83.8749
48393,50,85,43.7427,84.0711
48877,42,78,40.2452,79.9099
48169,45,78,44.1912,83.9329
48987,49,83,41.2853,82.5666
49226,42,80,41.1111,82.6256
50325,37,79,39.6927,82.1902
47932,50,85,44.5856,84.983
48471,37,79,41.4464,83.3333
47184,49,83,45.3824,83.3784
48225,41,83,41.962,84.001
47977,47,83,45.6466,83.9069
48730,50,84,40.3864,82.1391
48845,45,83,41.5526,84.3323
49522,46,82,38.954,82.8539
49061,49,83,41.7067,82.979
47601,47,82,44.0541,84.1642
50160,42,77,37.5866,77.6737
47366,48,85,43.4144,84.5746
47361,52,87,42.3824,83.0651
47497,49,81,44.4675,84.9429
48300,47,84,44.0571,83.8789
49645,49,82,41.8589,82.7608
49635,44,79,42.1331,83.014
48801,47,80,41.8879,82.951
46917,48,84,45.8148,84.2803
46497,58,84,46.3984,83.4685
50695,45,81,39.2863,81.3003
48692,50,83,43.0951,84.1251
46294,54,89,44.4695,83.042
48901,45,83,42.7007,84.1391
49464,40,83,38.1081,83.2422
46673,49,84,46.5546,85.3964
47769,45,83,40.9279,81.6607
48145,46,85,40.7698,82.4525
50321,39,78,38.7908,81.5616
48825,41,79,41.7017,83.4765
49248,47,81,40.4164,81.1552
47924,45,83,41.956,83.1021
47820,45,85,43.2462,83.983
47761,47,87,41.2853,83.4234
47144,55,89,44.024,84.963
49155,44,84,40.3393,84.6446
49203,36,80,36.6006,82.8148
48145,52,86,43.6857,82.6196
47170,42,82,43.7808,82.7928
47874,43,84,40.4795,82.0771
48453,44,82,41.7027,80.8268
48228,47,82,42.049,82.0871
47006,53,87,45.3964,84.4424
47779,44,80,44.5065,84.2492
47373,49,85,43.9309,84.8799
50184,49,80,41.4084,82.6687
48603,46,82,41.6116,83.5175
49829,41,81,39.8609,83.5976
47999,46,82,43.9249,83.6496
49934,47,82,40.2122,80.965
48657,44,81,40.3163,79.6226
49801,45,80,42.0851,81.7417
47669,45,82,42.7097,83.1512
48798,51,84,44.3253,83.1832
47795,52,84,46.2943,84.9329
49152,49,81,42.2272,83.8288
48090,51,84,42.4214,83.5395
48174,50,82,44.2563,83.7417
48989,49,82,42.4474,81.5365
51161,34,75,37.3373,81.2793
46078,57,85,44.1291,83.3514
48048,53,83,44.5766,84.2342
46821,51,86,45.3343,84.5766
47038,44,81,45.7107,84.5035
47494,42,82,44.4655,84.3223
49426,46,81,38.3784,81.8729
47917,44,84,41.3163,82.5946
49905,45,84,39.2943,81.4174
48818,35,79,40.6456,83.2032
48960,50,83,40.4635,82.2723
47933,51,85,46.1111,84.3944
48880,44,81,41.8368,83.2723
50265,42,80,39.2052,83.4174
51184,48,79,39.048,79.2142
47283,44,86,42.5375,83.1522
48848,47,80,40.6987,80.3293
47500,48,82,43.2232,83.3534
51585,34,74,38.2132,81.1211
46798,48,85,44.6557,83.8028
48172,50,85,45.4835,84.5355
48167,53,85,43.9029,83.2342
49596,52,85,40.4304,83.015
47046,49,85,44.2853,84.2132
48168,49,83,42.7648,82.014
48840,46,84,40.3063,82.2472
46352,52,84,47.1021,83.6717
48713,45,81,43.9419,84.027
48299,56,84,43.3924,83.8158
48896,51,82,40.1151,79.7247
48814,53,82,44.2052,82.9009
47677,46,81,43.7157,82.8619
47120,48,84,45.0881,84.1842
48319,54,82,43.1001,82.1341
47899,46,83,43.006,83.6667
50717,44,82,38.5516,82.7187
47298,49,83,43.3133,82.2693
48316,50,85,43.7267,84.4995
47036,52,85,45.4695,85.2412
47830,38,80,42.3023,82.7998
50606,37,78,39.6677,82.1982
48626,54,82,41.2683,81.3073
48605,43,84,41.1231,83.5526
47140,47,85,43.8148,83.4084
